slug,language,title,grade_level,version,filename,f_grade,f_ease,ari,avg_tokenlength,documentlength_token,documentlength_sentence,avg_sentencelength_char,avg_sentencelength_token,Original_Index,newsela_bertRank,newsela_bert,newsela_bert_regression,os_eng_bertRank,os_eng_bert_regression
17century-selfies-spanish,es,Un museo en Holanda abre exposición de 'selfies' del siglo XVII,12.0,0,17century-selfies-spanish.es.0.txt,27.7,7.83,33.6,4.969858156028369,564,21,159.8095238095238,26.857142857142858,0,3.9924717,12.0,11.950709,3.2934887,1.3076202
17century-selfies-spanish,es,Las 'selfies' del siglo XVII en el museo Mauritshuis,9.0,1,17century-selfies-spanish.es.1.txt,20.9,25.6,25.1,4.962837837837838,592,28,125.60714285714286,21.142857142857142,1,3.005561,12.0,11.61488,3.644187,0.9675148
17century-selfies-spanish,es,Una exposición de 'selfies' del siglo XVII,7.0,2,17century-selfies-spanish.es.2.txt,20.9,25.7,25.2,4.991983967935872,499,25,119.12,19.96,2,2.2931018,12.0,11.516481,2.2330906,0.6430275
17century-selfies-spanish,es,"Pinturas antiguas, como las 'selfies' modernas",4.0,3,17century-selfies-spanish.es.3.txt,11.6,55.17,14.4,4.834302325581396,344,29,68.75862068965517,11.862068965517242,3,1.0068722,9.0,8.848712,0.9792781,-0.07830713
17century-selfies-spanish,es,Las primeras 'selfies' de la historia,2.0,4,17century-selfies-spanish.es.4.txt,9.3,55.74,11.1,5.019230769230769,312,37,50.32432432432432,8.432432432432432,4,0.010330163,7.0,6.11283,0.04860164,-0.20102935
Braille-startup-spanish,es,Un empresario de 13 años de edad obtiene financiamiento para una impresora Braille,12.0,0,Braille-startup-spanish.es.0.txt,24.1,17.38,29.2,4.989194499017682,1018,49,124.0,20.77551020408164,5,3.9916582,12.0,11.960009,3.0975485,1.6078476
Braille-startup-spanish,es,Una simple pregunta lleva a un joven de 13 años a iniciar su propia empresa,8.0,1,Braille-startup-spanish.es.1.txt,20.6,31.82,25.3,4.74975074775673,1003,56,102.48214285714286,17.910714285714285,6,2.9982753,12.0,10.707507,2.3026161,0.89855605
Braille-startup-spanish,es,Un estudiante de secundaria empezó usando Legos y terminó construyendo una compañía,6.0,2,Braille-startup-spanish.es.2.txt,13.6,50.09,16.4,4.763513513513513,888,62,82.08064516129032,14.32258064516129,7,2.0094242,9.0,9.6614,1.0720326,0.11898244
Braille-startup-spanish,es,Un chico de 13 años obtiene dinero de una compañía de computación para su invento,4.0,3,Braille-startup-spanish.es.3.txt,11.9,49.15,12.6,4.690856313497823,689,60,64.91666666666667,11.483333333333333,8,1.0075715,9.0,8.606877,1.0076063,-0.06349648
Braille-startup-spanish,es,Un chico curioso de 13 años inventa una impresora,3.0,4,Braille-startup-spanish.es.4.txt,8.5,63.19,10.1,4.69377990430622,418,48,49.145833333333336,8.708333333333334,9,0.010284772,8.0,7.4445643,0.036317322,-0.24443603
adidas-mascots-spanish,es,Adidas ofrece su ayuda para eliminar las mascotas Nativo Americanas.,12.0,0,adidas-mascots-spanish.es.0.txt,30.7,-5.2,36.8,5.115746971736205,743,50,91.18,14.86,10,3.9909897,12.0,11.977751,3.8292716,0.6138771
adidas-mascots-spanish,es,Iniciativa de Adidas para eliminar las mascotas nativo americanas,8.0,1,adidas-mascots-spanish.es.1.txt,24.8,10.13,30.0,5.226939970717424,683,37,114.45945945945944,18.45945945945946,11,2.9963777,12.0,10.738618,2.5909398,0.41493645
adidas-mascots-spanish,es,"Adidas, a favor de eliminar las mascotas nativo americanas",6.0,2,adidas-mascots-spanish.es.2.txt,18.4,26.88,21.3,5.124386252045826,611,39,95.48717948717947,15.666666666666666,12,2.0088289,9.0,9.879763,1.0017315,0.080138534
adidas-mascots-spanish,es,Adidas quiere que las mascotas nativo americanas desaparezcan,4.0,3,adidas-mascots-spanish.es.3.txt,11.2,50.97,12.6,4.879732739420936,449,41,64.1219512195122,10.951219512195122,13,1.9782162,9.0,9.702363,2.9044755,-0.1549373
adidas-mascots-spanish,es,En contra de las mascotas nativo americanas,2.0,4,adidas-mascots-spanish.es.4.txt,8.8,51.85,9.4,5.058295964125561,223,34,39.588235294117645,6.5588235294117645,14,0.009641573,8.0,6.7608404,1.495241,-0.22709326
affirmativeaction-research-spanish,es,"Las investigaciones demuestran que con la ""acción afirmativa"" los estudiantes pueden progresar en las mejores escuelas",12.0,0,affirmativeaction-research-spanish.es.0.txt,24.6,5.33,28.7,5.460554371002132,1407,39,232.8717948717949,36.07692307692308,15,3.9870384,12.0,11.96162,3.0221317,1.8484104
affirmativeaction-research-spanish,es,La acción afirmativa debe ser apoyada,9.0,1,affirmativeaction-research-spanish.es.1.txt,27.1,-1.38,32.4,5.454835281615303,941,36,168.25,26.13888888888889,16,2.9964488,12.0,11.232779,2.6784859,1.7254529
affirmativeaction-research-spanish,es,"La acción afirmativa, importante para todos",7.0,2,affirmativeaction-research-spanish.es.2.txt,19.1,25.05,22.1,5.157575757575757,825,38,133.26315789473685,21.71052631578948,17,2.0084915,12.0,10.251767,2.3259385,0.6192101
affirmativeaction-research-spanish,es,La acción afirmativa ayuda a los estudiantes,5.0,3,affirmativeaction-research-spanish.es.3.txt,16.0,32.97,18.8,5.240770465489566,623,38,101.92105263157896,16.394736842105264,18,1.9874469,12.0,10.306079,2.2953203,0.3753989
affirmativeaction-research-spanish,es,Todos los estudiantes pueden estudiar en las mejores escuelas,4.0,4,affirmativeaction-research-spanish.es.4.txt,13.1,35.17,14.1,5.343434343434343,594,47,79.8936170212766,12.638297872340424,19,0.016861841,9.0,9.033724,1.8817724,-0.023459591
afghan-hotdog-spanish,es,Los perros calientes sobre ruedas de los empresarios afganos llaman la atención en Kabul,12.0,0,afghan-hotdog-spanish.es.0.txt,29.1,4.18,36.3,5.128318584070796,1130,42,164.3095238095238,26.904761904761905,20,3.9928975,12.0,11.9512825,3.8502092,1.8261151
afghan-hotdog-spanish,es,Modernos camiones de comida se instalan en Kabul,8.0,1,afghan-hotdog-spanish.es.1.txt,17.3,34.94,21.3,5.127619047619048,1050,59,108.57627118644068,17.796610169491526,21,2.996666,12.0,11.329284,2.8459651,1.682028
afghan-hotdog-spanish,es,La moda de los camiones de comida modernos llega a Afganistán,7.0,2,afghan-hotdog-spanish.es.2.txt,15.1,40.82,18.1,5.026229508196721,915,60,91.43333333333334,15.25,22,2.0356288,9.0,10.352732,0.3694011,1.032956
afghan-hotdog-spanish,es,Los primeros camiones de comida ambulante de Kabul están sirviendo perros calientes,6.0,3,afghan-hotdog-spanish.es.3.txt,12.1,53.85,15.3,4.929394812680116,694,49,83.55102040816327,14.16326530612245,23,1.8057511,9.0,9.539582,1.3087871,0.36448902
afghan-hotdog-spanish,es,¿Perros calientes sobre ruedas? Los camiones de comida ambulante llegan a Kabul,4.0,4,afghan-hotdog-spanish.es.4.txt,9.4,60.95,12.4,4.993827160493828,486,57,50.8421052631579,8.526315789473685,24,0.010360931,9.0,8.690244,0.18606871,-0.13628076
afghanistan-toygun-spanish,es,Una Afganistán llena de armas prohíbe las armas de juguete,12.0,0,afghanistan-toygun-spanish.es.0.txt,25.8,12.91,31.2,4.9601386481802425,577,23,149.0,25.08695652173913,25,3.9913952,12.0,11.961073,1.9200107,1.3414364
afghanistan-toygun-spanish,es,Policía prohíbe las armas de juguete por incidentes graves de niños,9.0,1,afghanistan-toygun-spanish.es.1.txt,24.3,16.77,30.0,5.066088840736728,923,42,132.73809523809524,21.976190476190474,26,3.9883003,12.0,11.239604,3.8616993,1.4105666
afghanistan-toygun-spanish,es,Afganistán prohíbe las armas de juguete después que niños resultan heridos,7.0,2,afghanistan-toygun-spanish.es.2.txt,18.7,31.28,23.0,5.075282308657465,797,46,104.71739130434784,17.32608695652174,27,2.002534,9.0,9.819471,2.8993902,0.4775997
afghanistan-toygun-spanish,es,Niños afganos resultan heridos y el gobierno les quita las armas de juguete,5.0,3,afghanistan-toygun-spanish.es.3.txt,11.6,55.17,14.0,4.736349453978159,641,52,70.21153846153847,12.326923076923077,28,1.0046635,9.0,8.259549,1.5250902,-0.1119333
afghanistan-toygun-spanish,es,Afganistán destruye las armas de juguete porque niños se lastiman con ellas,3.0,4,afghanistan-toygun-spanish.es.4.txt,8.5,68.81,10.8,4.576923076923077,312,31,55.64516129032258,10.064516129032258,29,0.8642745,9.0,7.539535,0.05174642,-0.23295605
africa-entrepreneurs-spanish,es,Mujeres empresarias en África asumen el liderazgo,12.0,0,africa-entrepreneurs-spanish.es.0.txt,31.6,-7.64,37.9,5.117845117845118,1188,40,181.15,29.7,30,3.9917006,12.0,11.969808,2.8203342,1.8505973
africa-entrepreneurs-spanish,es,Mujeres africanas comienzan negocios propios y muchos prosperan,10.0,1,africa-entrepreneurs-spanish.es.1.txt,29.5,3.17,36.4,5.003105590062112,1288,58,132.70689655172413,22.20689655172414,31,2.994617,12.0,10.909072,2.9466162,0.789182
africa-entrepreneurs-spanish,es,Las mujeres dueñas de negocios ayudan a mejorar la economía y a combatir la pobreza en África,8.0,2,africa-entrepreneurs-spanish.es.2.txt,27.9,7.33,34.7,5.074171029668412,1146,56,123.66071428571428,20.464285714285715,32,2.9753685,12.0,10.724714,2.047563,0.7205647
africa-entrepreneurs-spanish,es,"Mujeres en África comienzan sus negocios propios, ofrecen empleo y alimentan a sus hijos",6.0,3,africa-entrepreneurs-spanish.es.3.txt,18.7,31.38,23.0,5.040524433849821,839,57,88.28070175438596,14.719298245614034,33,1.0065842,9.0,9.760688,0.9989137,0.15321374
africa-entrepreneurs-spanish,es,"En África cada vez más mujeres abren sus propios negocios, ayudando así a sus familias",4.0,4,africa-entrepreneurs-spanish.es.4.txt,11.8,49.25,13.7,4.91588785046729,642,61,61.78688524590164,10.524590163934429,34,0.009685424,9.0,8.235638,0.0458535,-0.09046255
africa-lions-spanish,es,"Los leones,orgullo africano, desaparecen en África Occidental",12.0,0,africa-lions-spanish.es.0.txt,27.3,8.95,33.6,5.054251012145749,1235,50,148.96,24.7,35,3.9934251,12.0,11.927186,2.1075134,1.1274467
africa-lions-spanish,es,Los leones de África Occidental luchan por sobrevivir,9.0,1,africa-lions-spanish.es.1.txt,28.4,6.21,35.4,5.1132852729145215,971,43,137.3953488372093,22.58139534883721,36,3.0723815,12.0,11.182081,2.3811061,0.85544604
africa-lions-spanish,es,Los leones africanos están desapareciendo por culpa de los humanos,7.0,2,africa-lions-spanish.es.2.txt,18.9,30.88,23.2,5.063679245283019,848,49,104.36734693877553,17.306122448979593,37,2.0042477,12.0,10.517574,2.49029,0.36993706
africa-lions-spanish,es,Cada vez hay menos sitio para los leones africanos,5.0,3,africa-lions-spanish.es.3.txt,11.2,56.18,13.8,4.794670846394984,638,52,70.59615384615384,12.26923076923077,38,1.0076987,9.0,9.084796,1.008722,-0.12064692
africa-lions-spanish,es,África se queda sin el rey de la selva,3.0,4,africa-lions-spanish.es.4.txt,7.6,65.73,9.1,4.76039119804401,409,47,49.723404255319146,8.702127659574469,39,0.00942061,7.0,6.264899,0.03550751,-0.25596398
