Features_Models,dcg,ndcg,spearman_rank,kendalltau,ml_mse,ml_mae,ml_accuracy,ml_f1,ml_recall,ml_precision,ranking_accuracy
ari,2.4947039664021227,0.9482214274309647,0.5460113884799292,0.41745491791304956,330.1597354497355,16.301763668430336,,,,,0.1693121693121693
avg_fasttext-wiki-news-subwords-300_class_logistic_reg,2.396079902144774,0.9107350353585546,0.8141372252213752,0.7884129528849432,0.7301587301587301,0.49029982363315694,0.6296296296296297,0.6278588052136277,0.6296296296296297,0.6330145497072154,0.9259259259259259
avg_fasttext-wiki-news-subwords-300_class_svm,2.394568904676897,0.9101607146394909,0.751194294237199,0.7230448193761897,0.691358024691358,0.48324514991181655,0.6208112874779541,0.6149413820415616,0.6208112874779541,0.6204840484048404,0.8835978835978836
avg_fasttext-wiki-news-subwords-300_linear_reg,2.5989327269652582,0.9878381296335398,0.9259259259259259,0.911816578483245,1.5608334715868248,0.9531663137714464,,,,,0.8888888888888888
avg_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,2.433493431472062,0.9249556846467005,0.873549780723689,0.8370009252363221,0.7213403880070547,0.5590828924162258,0.5220458553791887,0.5101961340632035,0.5220458553791887,0.5056420010407999,0.9841269841269841
avg_glove-wiki-gigaword-300_class_logistic_reg,2.4674406965514315,0.9378588285004223,0.871783091692401,0.8446577931760334,0.43562610229276894,0.3262786596119929,0.7283950617283951,0.7243841142415554,0.7283950617283951,0.728562091503268,0.9523809523809523
avg_glove-wiki-gigaword-300_class_svm,2.4083887594671545,0.9154135553021869,0.8558795888168542,0.8205723546627997,0.6613756613756614,0.48853615520282184,0.5978835978835979,0.5937113873275284,0.5978835978835979,0.5951404822327009,0.9629629629629629
avg_glove-wiki-gigaword-300_linear_reg,2.554461171712048,0.9709347686856313,0.8571428571428571,0.834215167548501,2.142935695670118,1.1215643031066753,,,,,0.7936507936507936
avg_glove-wiki-gigaword-300_ordinal_logistic_reg,2.473108194132688,0.9400130090039354,0.8869594363392338,0.8517234096728648,0.4532627865961199,0.3932980599647266,0.63668430335097,0.6349905460423243,0.63668430335097,0.633619998931681,0.9841269841269841
avg_word2vec-google-news-300_class_logistic_reg,2.416895034145911,0.9186467372855559,0.8614829778265672,0.8315518906325827,0.6631393298059964,0.4620811287477954,0.6384479717813051,0.6200574944545892,0.6384479717813051,0.6550652701394025,0.9629629629629629
avg_word2vec-google-news-300_class_svm,2.47216696340706,0.9396552530720828,0.8950038536862323,0.8631196739722234,0.49029982363315694,0.38095238095238093,0.673721340388007,0.6547264127822454,0.673721340388007,0.672026213859534,0.9894179894179894
avg_word2vec-google-news-300_linear_reg,2.573737703117941,0.9782616581169153,0.873015873015873,0.8553791887125222,1.8887782083622546,1.0756878313351341,,,,,0.8518518518518519
avg_word2vec-google-news-300_ordinal_logistic_reg,2.4619313278344976,0.9357647517925759,0.8906765571609241,0.8549405710491188,0.599647266313933,0.48677248677248675,0.5696649029982364,0.5626930479815013,0.5696649029982364,0.5590320109659733,0.9947089947089947
bertRank,2.6235604982237626,0.9971989919770031,0.9814814814814815,0.9788359788359788,0.05498775464428578,0.08880415707383126,,,,,0.9788359788359788
bert_classification,2.534368907010611,0.9632978241134085,0.808106088928936,0.8075819744013515,0.25749559082892415,0.13051146384479717,0.9329805996472663,0.9326987282052728,0.9329805996472663,0.9346460935118801,0.8253968253968254
