filename,text_lvl,f_grade,f_ease,ari,avg_tokenlength,documentlength_token,documentlength_sentence,avg_sentencelength_char,avg_sentencelength_token,slug,sum_fasttext-wiki-news-subwords-300_linear_reg,avg_fasttext-wiki-news-subwords-300_linear_reg,sum_fasttext-wiki-news-subwords-300_class_logistic_reg,avg_fasttext-wiki-news-subwords-300_class_logistic_reg,sum_fasttext-wiki-news-subwords-300_class_svm,avg_fasttext-wiki-news-subwords-300_class_svm,sum_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,avg_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,sum_word2vec-google-news-300_linear_reg,avg_word2vec-google-news-300_linear_reg,sum_word2vec-google-news-300_class_logistic_reg,avg_word2vec-google-news-300_class_logistic_reg,sum_word2vec-google-news-300_class_svm,avg_word2vec-google-news-300_class_svm,sum_word2vec-google-news-300_ordinal_logistic_reg,avg_word2vec-google-news-300_ordinal_logistic_reg,sum_glove-wiki-gigaword-300_linear_reg,avg_glove-wiki-gigaword-300_linear_reg,sum_glove-wiki-gigaword-300_class_logistic_reg,avg_glove-wiki-gigaword-300_class_logistic_reg,sum_glove-wiki-gigaword-300_class_svm,avg_glove-wiki-gigaword-300_class_svm,sum_glove-wiki-gigaword-300_ordinal_logistic_reg,avg_glove-wiki-gigaword-300_ordinal_logistic_reg,newsela_sum_fasttext-wiki-news-subwords-300_linear_reg,newsela_avgfasttext-wiki-news-subwords-300_linear_reg,newsela_sum_fasttext-wiki-news-subwords-300_class_logistic_reg,newsela_avgfasttext-wiki-news-subwords-300_class_logistic_reg,newsela_sum_fasttext-wiki-news-subwords-300_class_svm,newsela_avgfasttext-wiki-news-subwords-300_class_svm,newsela_sum_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,newsela_avgfasttext-wiki-news-subwords-300_ordinal_logistic_reg,newsela_sum_word2vec-google-news-300_linear_reg,newsela_avgword2vec-google-news-300_linear_reg,newsela_sum_word2vec-google-news-300_class_logistic_reg,newsela_avgword2vec-google-news-300_class_logistic_reg,newsela_sum_word2vec-google-news-300_class_svm,newsela_avgword2vec-google-news-300_class_svm,newsela_sum_word2vec-google-news-300_ordinal_logistic_reg,newsela_avgword2vec-google-news-300_ordinal_logistic_reg,newsela_sum_glove-wiki-gigaword-300_linear_reg,newsela_avgglove-wiki-gigaword-300_linear_reg,newsela_sum_glove-wiki-gigaword-300_class_logistic_reg,newsela_avgglove-wiki-gigaword-300_class_logistic_reg,newsela_sum_glove-wiki-gigaword-300_class_svm,newsela_avgglove-wiki-gigaword-300_class_svm,newsela_sum_glove-wiki-gigaword-300_ordinal_logistic_reg,newsela_avgglove-wiki-gigaword-300_ordinal_logistic_reg,fasttext-wiki-news-subwords-300_pairwiseSVM,word2vec-google-news-300_pairwiseSVM,glove-wiki-gigaword-300_pairwiseSVM,grade_level,Original_Index,newsela_fasttext-wiki-news-subwords-300_pairwiseSVM,newsela_word2vec-google-news-300_pairwiseSVM,newsela_glove-wiki-gigaword-300_pairwiseSVM,transread_en_avgfasttext-wiki-news-subwords-300_linear_reg,transread_en_sum_fasttext-wiki-news-subwords-300_linear_reg,transread_en_avgfasttext-wiki-news-subwords-300_class_logistic_reg,transread_en_sum_fasttext-wiki-news-subwords-300_class_logistic_reg,transread_en_avgfasttext-wiki-news-subwords-300_class_svm,transread_en_sum_fasttext-wiki-news-subwords-300_class_svm,transread_en_avgfasttext-wiki-news-subwords-300_ordinal_logistic_reg,transread_en_sum_fasttext-wiki-news-subwords-300_ordinal_logistic_reg,transread_en_avgword2vec-google-news-300_linear_reg,transread_en_sum_word2vec-google-news-300_linear_reg,transread_en_avgword2vec-google-news-300_class_logistic_reg,transread_en_sum_word2vec-google-news-300_class_logistic_reg,transread_en_avgword2vec-google-news-300_class_svm,transread_en_sum_word2vec-google-news-300_class_svm,transread_en_avgword2vec-google-news-300_ordinal_logistic_reg,transread_en_sum_word2vec-google-news-300_ordinal_logistic_reg,transread_en_avgglove-wiki-gigaword-300_linear_reg,transread_en_sum_glove-wiki-gigaword-300_linear_reg,transread_en_avgglove-wiki-gigaword-300_class_logistic_reg,transread_en_sum_glove-wiki-gigaword-300_class_logistic_reg,transread_en_avgglove-wiki-gigaword-300_class_svm,transread_en_sum_glove-wiki-gigaword-300_class_svm,transread_en_avgglove-wiki-gigaword-300_ordinal_logistic_reg,transread_en_sum_glove-wiki-gigaword-300_ordinal_logistic_reg,transread_en_fasttext-wiki-news-subwords-300_pairwiseSVM,transread_en_word2vec-google-news-300_pairwiseSVM,transread_en_glove-wiki-gigaword-300_pairwiseSVM,glove-wiki-gigaword-300_han_svm,word2vec-google-news-300_han_svm,fasttext-wiki-news-subwords-300_han_svm,fasttext-wiki-news-subwords-300_han_svm_reg,fasttext-wiki-news-subwords-300_han_only_cat,glove-wiki-gigaword-300_han_only_cat,glove-wiki-gigaword-300_han_cat,newsela_bertRank,bert_classification,bert_regression,bertRank,word2vec-google-news-300_han_only_cat,mbertRank,newsela_eng_bert_regression,newsela_mbert_regression,newsela_engbertRank,newsela_mbertRank
WNL Shocking-adv.txt,Adv-Txt,19.8,39.27,25.3,4.696165191740413,678,52,74.25,13.038461538461538,WNL Shocking,1.9894700933832856,2.0304835306179587,2,0,1,0,2,0,2.098012735095766,2.5787949608884926,2,0,1,2,2,1,0.8107118277716525,1.9273509364257448,2,0,1,0,2,1,7.853681822857427,8.654657331190908,10,10,10,10,10,10,8.731865443729735,9.47790914649578,10,10,10,10,10,10,6.175117796177425,6.666216691162209,6,10,3,3,7,6,2.0,2.0,2.0,2,0,2.0,2.0,2.0,0.0945690598500759,-5020.3755024647335,1,0,1,0,1,0,0.0690740754474059,-665.4267483072866,0,0,0,0,0,0,-0.2967975956382842,-4600.939396078892,0,0,0,0,0,0,0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6957188,2.0,1.4598360061645508,1.596044898033142,2.0,1.9274502992630005,12.155056,12.178131,1.631253,1.8658483
Swedish prisons-adv.txt,Adv-Txt,14.5,47.66,17.4,4.804324324324324,925,53,101.24528301886792,17.452830188679247,Swedish prisons,-0.0373970692137084,1.8764839893647949,2,0,2,0,2,1,2.2480085812558475,1.3410533181577629,2,2,2,2,2,1,2.0303564051374865,3.378853612042848,2,2,2,1,2,2,9.911018345320624,9.34541077126356,10,10,10,10,10,10,8.87390857971796,8.603376900342816,10,10,10,10,10,10,8.223103329699034,8.61648976741489,10,10,10,10,9,10,2.0,2.0,2.0,2,1,2.0,2.0,2.0,0.8253644050477309,-6105.1452075953775,1,0,1,0,1,0,0.2666709538335836,-746.7205944191289,0,0,0,0,0,0,0.1788591579898799,-5648.448478402991,0,0,0,0,0,0,0,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.8423688,2.0,1.6851773262023926,1.4171149730682373,2.0,1.8849599361419678,12.147277,12.160651,1.4216075,0.85487777
WNL John Lewis-adv.txt,Adv-Txt,30.6,11.05,38.8,4.619952494061757,842,47,100.63829787234044,17.914893617021278,WNL John Lewis,3.421865568798524,2.2169334431148737,2,2,2,2,2,2,2.044434608580844,3.40139231048358,0,2,2,2,1,2,1.9937344550034668,2.6320878182429315,2,2,2,2,2,2,9.246335853923169,9.287344696108418,10,10,10,10,10,10,9.729904434727317,9.367931294052276,10,10,10,10,10,10,8.404740229611901,8.95163090425562,10,10,10,10,10,10,2.0,2.0,2.0,2,2,2.0,2.0,2.0,0.6401304843819844,-5678.940803880604,1,0,1,0,1,0,0.5437711905220147,-513.3248688410245,0,0,1,0,0,0,0.6184220212015248,-4545.675908952844,0,0,0,0,0,0,2,2,2,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.7020999,2.0,1.5527796745300293,1.9598352909088133,2.0,1.9355831146240234,12.130369,12.151429,1.9985949,1.9427438
Facebook deserted by millions of users-adv.txt,Adv-Txt,18.3,37.81,23.0,4.908579465541491,711,53,79.13207547169812,13.41509433962264,Facebook deserted by millions of users,2.2671758049942534,2.44257156142611,2,2,1,2,2,2,1.0899171564639487,1.3291018948618871,2,2,2,2,2,2,2.941276975845356,2.670621480942282,2,2,1,2,2,2,8.671960190166612,9.40510220531466,10,10,10,10,10,10,8.081641083989576,8.654370501430373,10,10,10,10,10,10,8.700322500804594,9.596320106919029,10,10,10,10,9,10,2.0,2.0,2.0,2,3,2.0,2.0,2.0,0.5022810873782273,-4791.980158263696,1,0,1,0,1,0,0.5620635274528963,-421.9532623257213,1,0,1,0,1,0,1.0293427781981093,-3570.1424388245628,1,0,1,0,1,0,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8685119,2.0,1.6050070524215698,1.9651498794555664,2.0,1.9363155364990234,12.1372595,12.173412,1.9032378,1.0671136
WNL Ships noise-adv.txt,Adv-Txt,15.5,50.43,21.0,4.957390146471371,751,43,103.95348837209302,17.46511627906977,WNL Ships noise,1.229507078686109,1.959822708598285,2,2,2,2,2,2,4.336948804904123,3.325085858282571,2,2,2,2,2,2,3.603450656747492,3.2615309892893176,2,2,1,2,2,2,9.120360022454951,9.234830366761964,10,10,10,10,10,10,9.326394431617654,9.659234168138768,10,10,10,10,10,10,9.19739658115141,9.351100792275131,10,10,5,10,9,10,2.0,2.0,2.0,2,4,2.0,2.0,2.0,1.092112734928496,-4894.092085039415,1,0,1,0,1,0,1.1427544940976264,-107.49457512359254,1,0,1,0,1,0,0.928151137808408,-4292.039084678346,1,0,1,0,1,0,2,2,2,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.8485403,0.0,1.4289947748184204,1.7516072988510132,2.0,1.577160358428955,12.136078,12.16416,1.9991019,1.9146696
WNL Six year olds-adv.txt,Adv-Txt,21.4,29.79,28.2,5.201765447667087,793,47,104.5744680851064,16.872340425531913,WNL Six year olds,-0.2501429983502579,0.5403205293048767,2,2,1,2,1,2,1.472759688517442,1.97467211788542,2,2,2,2,2,2,1.463153532749769,1.7117234740928726,2,2,1,2,2,2,9.92755527915858,9.516224826035264,10,10,10,10,10,10,9.37019891537948,9.15572338894956,10,10,10,10,10,10,8.211634641710738,8.257663760537362,10,10,10,10,9,10,2.0,2.0,2.0,2,5,2.0,2.0,2.0,1.088863093994398,-4951.885087630518,1,0,1,0,1,0,0.2627191961428829,-630.5696611774301,1,0,1,0,1,0,0.8033513879103271,-4335.673380641309,1,0,1,0,1,0,2,2,0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.5739212,2.0,1.7378824949264526,1.636898159980774,2.0,1.889427661895752,12.133922,12.138509,1.3577187,1.8101982
WNL Satnav-adv.txt,Adv-Txt,44.0,-28.98,55.8,4.910493827160494,648,36,106.25,18.0,WNL Satnav,1.929960007823112,2.377700066093709,2,0,1,0,1,0,2.373912948887326,2.2804499147391395,2,2,1,2,2,1,1.3670226793472908,2.544954527808565,0,0,1,1,0,1,8.386520068307831,9.83553609854707,10,10,10,10,10,10,8.128359646743991,8.559106387746594,10,10,10,10,10,10,5.287801887082141,6.524464583660162,5,5,3,3,4,5,2.0,2.0,2.0,2,6,2.0,2.0,0.0,0.1467606820176392,-4632.729181686387,1,0,1,0,1,0,0.2032702904881793,-573.9823450802577,1,0,0,0,1,0,-0.5266103250174954,-4287.9370101125305,0,0,0,0,0,0,2,2,0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.9307294,2.0,1.8284883499145508,1.9539039134979248,2.0,1.9336276054382324,12.1659355,12.171566,1.9989648,1.9671354
Kate and William-adv.txt,Adv-Txt,30.4,6.25,39.0,5.035060975609756,656,44,89.93181818181819,14.909090909090908,Kate and William,4.49822902121158,4.552535777014402,2,2,1,2,2,2,2.123741410351646,3.2017860263652542,2,2,1,2,2,2,0.5164840855884565,1.363081225726548,2,2,1,2,2,2,8.005572205218446,8.578074187949388,10,10,10,10,10,10,8.531621803018904,8.604054410794353,10,10,10,10,10,10,7.392380924071666,8.683215932442518,10,10,10,10,8,10,2.0,2.0,2.0,2,7,2.0,2.0,2.0,0.8657192508525746,-4223.582748941567,1,0,1,0,1,0,1.0418066519699258,-144.66195139573952,1,0,1,0,1,0,1.0494367829731797,-3343.463171909771,1,0,0,0,1,0,2,2,2,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.8137836,2.0,1.5137821435928345,1.9500384330749512,2.0,1.9358406066894531,12.131347,12.157207,1.99388,1.983613
WNL Canadian Pair-adv.txt,Adv-Txt,12.3,58.86,16.0,4.730650154798762,646,49,75.40816326530613,13.183673469387756,WNL Canadian Pair,0.7609083571725961,1.404325639084976,2,0,0,0,1,1,2.136382165539821,3.986892302025564,2,0,0,2,2,1,-0.0036367561720274,0.5699829496177582,2,2,0,1,0,1,7.251290472316357,9.017653727380978,10,10,10,10,5,10,7.137151195751594,8.260793387211443,10,10,10,10,6,10,6.40985446966401,7.738334660151441,10,10,3,10,7,10,2.0,2.0,2.0,2,8,2.0,2.0,2.0,0.313284883235104,-4256.995832553838,0,0,1,0,0,0,0.4020450639947235,-422.1860849196203,0,0,0,0,0,0,0.4687081765870156,-3367.15226031788,0,0,0,0,0,0,2,2,2,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.93571,2.0,1.6632946729660034,1.7910970449447632,2.0,1.9346126317977905,12.104753,12.167751,1.9982718,1.9811771
Denmark-adv.txt,Adv-Txt,17.1,46.27,20.6,4.380726698262244,633,41,82.8048780487805,15.439024390243905,Denmark,2.2833820500583903,3.092085974631811,2,0,0,0,1,0,1.4872028251309182,2.0234361808779555,2,0,0,0,2,0,0.7830267651981453,1.719845058051101,0,0,0,0,2,0,7.863634687281242,9.318494977946576,10,2,2,10,6,5,7.960819254813993,8.324323318750078,10,10,10,10,6,10,4.858858679320695,6.256958692570461,2,2,2,2,7,3,2.0,2.0,2.0,2,9,2.0,2.0,2.0,-0.323425569593704,-4567.350578118544,0,0,0,0,0,0,-0.0614504370220465,-630.7719888637248,0,0,0,0,0,0,-0.4056634673368062,-4035.317159989352,0,0,0,0,0,0,2,2,2,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.9334092,2.0,1.1361591815948486,1.48725688457489,2.0,1.8904738426208496,12.095087,12.175449,1.9936872,1.7404625
